Codigo,Descricao,Categoria,Quantidade,Local,Sublocal,Tecido,Cristais,Eletricista
014-0014,CADEIRA TIFFANY DOURADA (NOVA),CADEIRAS,396,Loja,Area do Galpao,0,0,0
014-0015,CADEIRA DIOR CRISTAL,CADEIRAS,906,Galpao,Setor 2,0,0,0
014-0016,CADEIRA TIFFANY BRANCA ACRÍLICA,CADEIRAS,335,Armazem 500,Armazem 500,0,0,0
014-0017,CADEIRA TIFFANY EM MADEIRA BRANCA,CADEIRAS,1031,Galpao,Setor 2,0,0,0
014-0018,CADEIRA DIOR DOURADA,CADEIRAS,410,Loja,Area do Galpao,0,0,0
014-0019,CADEIRA TIFFANY EM MADEIRA PRETA,CADEIRAS,295,Galpao,Setor 3,0,0,0
014-0020,CADEIRAS AVELUDADAS ~C~ BEGE,CADEIRAS,4,Galpao,Setor 1,1,0,0
014-0021,CADEIRINHA EM MDF BRANCA (JARDIM),CADEIRAS,4,Loja,Area da Entrada,0,0,0
014-0022,CADEIRA ESTILO POLTRONA EM PALINHA PRETA,CADEIRAS,5,Loja,Area do Galpao,0,0,0
014-0023,CADEIRA ACRÍLICA PRETA,CADEIRAS,8,Galpao,Setor 2,0,0,0
014-0024,CADEIRA GHOST TRANSPARENTE,CADEIRAS,3,Loja,Area da Entrada,0,0,0
014-0025,CADEIRA IMPERIAL TRANSPARENTE,CADEIRAS,20,Loja,Area do Galpao,0,0,0
014-0026,CADEIRA EM FERRO TRANÇADO BRANCA,CADEIRAS,1,Loja,Area do Galpao,0,0,0
014-0027,CADEIRA EM MADEIRA COM ESTOFADO VERDE,CADEIRAS,2,Galpao,Setor 3,0,0,0
014-0028,CADEIRA BRANCA COM DETALHES EM INOX,CADEIRAS,4,Loja,Setor Comercial,0,0,0
014-0029,CADEIRA ESTILO D. PEDRO COR PRATA,CADEIRAS,1,Galpao,Setor 2,0,0,0
014-0030,CADEIRA EM VIME PRETA COM ESTOFADO BRANCO,CADEIRAS,4,Loja,Sala Alberto Serruya,0,0,0
014-0031,CADEIRA RÚSTICA ESTILO PALHA (BAMBU),CADEIRAS,4,Galpao,Setor 3,0,0,0
014-0032,CADEIRA COM ESTOFADO BEGE COM PÉS PRETOS,CADEIRAS,2,Galpao,Setor 3,0,0,0
014-0033,CADEIRA EM FERRO TRANÇADO NA COR PRETA ESTILO BANQUETA,CADEIRAS,1,Loja,Area da Entrada,0,0,0
014-0034,CADEIRA EM VIME ESTILO PALHA,CADEIRAS,1,Loja,Area da Entrada,0,0,0
014-0035,CADEIRA PARA MESA DE JANTAR NA COR CINZA E MARROM,CADEIRAS,1,Galpao,Setor 2,0,0,0
014-0036,CADEIRA CARAMELO COM PÉ BRANCO (ARTEFACTO),CADEIRAS,2,Loja,Area do Galpao,1,0,0
014-0037,CADEIRA VERMELHA DE COURO (ARTEFACTO),CADEIRAS,1,Loja,Area da Entrada,1,0,0
014-0038,CADEIRA DOURADA E BEGE (RAINHA DE COPAS),CADEIRAS,4,Loja,Area da Entrada,0,0,0
014-0039,CADEIRA LUIS FELIPE,CADEIRAS,500,Galpao,Setor 3,0,0,0
014-0040,POLTRONA GHOST VERMELHA,CADEIRAS,16,Loja,Area do Galpao,1,0,0
014-0041,POLTRONA GHOST BRANCA,CADEIRAS,4,Loja,Area do Galpao,0,0,0
015-0001,CANDELABRO BOLA DOURADO (GRANDE),CASTIÇAIS,1,Loja,Area do Galpao,0,0,0
015-0002,CANDELABRO BOLA DOURADO (PEQUENO),CASTIÇAIS,8,Loja,Area da Entrada,0,0,0
015-0003,CANDELABRO BOLA PRATA (GRANDE),CASTIÇAIS,1,Armazem 500,Armazem 500,0,1,0
015-0004,CANDELABRO DE PENDURAR CRISTAL (RABO CAVALO),CASTIÇAIS,4,Loja,Area do Galpao,0,0,0
015-0005,"CANDELABRO JUDAICO 7 VELAS DOURADO (1,50 METROS)",CASTIÇAIS,2,Galpao,Setor 2,0,1,0
015-0006,"CANDELABRO JUDAICO 7 VELAS DOURADO (2,50 METROS)",CASTIÇAIS,1,Loja,Area da Entrada,0,0,0
015-0007,TOUCHEIRO DE 1 VELA DOURADO DE FERRO,CASTIÇAIS,42,Loja,Area do Galpao,0,0,0
015-0008,"CASTIÇAL MYRIAM (1,49 METROS)",CASTIÇAIS,10,Loja,Area do Galpao,0,0,0
015-0009,"CASTIÇAL 5 VELAS CROMADO (PEQUENO, 38 CM)",CASTIÇAIS,72,Loja,Area do Galpao,0,0,0
015-0010,"CASTIÇAL 5 VELAS CROMADO (MÉDIO, 1,20 METROS)",CASTIÇAIS,10,Galpao,Setor 2,0,0,0
015-0011,"CASTIÇAL 5 VELAS CROMADO (GRANDE, 1,50 METROS)",CASTIÇAIS,20,Loja,Area do Galpao,0,0,0
015-0012,"CASTIÇAL 5 VELAS DE PRATA (1,0 METRO)",CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0013,CASTIÇAL 5 VELAS DE PRATA,CASTIÇAIS,3,Loja,Area da Entrada,0,0,0
015-0014,CASTIÇAL 5 VELAS RISCO FOLHAS DOURADO (REFORMADO),CASTIÇAIS,64,Loja,Area da Entrada,0,0,0
015-0015,CASTIÇAL 6 VELAS CRISTAL PRETO PINGENTE (ALTO),CASTIÇAIS,1,Galpao,Setor 2,0,0,0
015-0016,CASTIÇAL 6 VELAS CRISTAL PRETO PINGENTE (BAIXO),CASTIÇAIS,1,Galpao,Setor 2,0,0,0
015-0017,CASTIÇAL 7 VELAS IMPERIAL PRETO,CASTIÇAIS,14,Loja,Sala Alberto Serruya,0,0,0
015-0018,CASTIÇAL 10 VELAS,CASTIÇAIS,4,Galpao,Setor 3,0,0,0
015-0019,CASTIÇAL 13 VELAS DOURADO FOSCO,CASTIÇAIS,13,Armazem 500,Armazem 500,0,0,0
015-0020,"CASTIÇAL 13 VELAS ORIGINAL DOURADO (1,42 METROS)",CASTIÇAIS,2,Armazem 500,Armazem 500,0,0,0
015-0021,CASTIÇAL 13 VELAS MARISA PRADO PRATA (ALTO),CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0022,CASTIÇAL 13 VELAS MARISA PRADO DOURADO (RETANGULAR),CASTIÇAIS,1,Armazem 500,Armazem 500,0,0,0
015-0023,CASTIÇAL 13 VELAS MARISA PRADO DOURADO (BAIXO),CASTIÇAIS,2,Galpao,Setor 2,0,0,0
015-0024,CASTIÇAL DOURADO 03 VELAS (LINHA OURO),CASTIÇAIS,12,Galpao,Setor 3,0,0,0
015-0025,CASTIÇAL DOURADO 05 VELAS (LINHA OURO),CASTIÇAIS,12,Loja,Sala Alberto Serruya,0,0,0
015-0026,CASTIÇAL 05 VELAS NOVO E ANTIGO (MÉDIO),CASTIÇAIS,35,Loja,Area da Entrada,1,0,0
015-0027,CASTIÇAL DOURADO NOVO 05 VELAS (GRANDE),CASTIÇAIS,13,Loja,Area do Galpao,0,0,0
015-0028,CASTIÇAL DE CRISTAL 07 CÚPULAS,CASTIÇAIS,1,Galpao,Setor 2,0,0,0
015-0029,CASTIÇAL DE CRISTAL 07 CÚPULAS TRELISSADO,CASTIÇAIS,5,Galpao,Setor 4,0,0,0
015-0030,CASTIÇAL MARIZA PRADO TAÇA DOURADO 01 VELA,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0031,CASTIÇAL MATAPPY,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0032,CASTIÇAL BOLINHAS DOURADO,CASTIÇAIS,14,Loja,Area da Entrada,0,0,0
015-0033,CASTIÇAL MEDURA RETA,CASTIÇAIS,10,Galpao,Setor 3,0,0,0
015-0034,CASTIÇAL 05 VELAS EM PRATA COM CÚPULAS EM VIDRO CANDLESTICK,CASTIÇAIS,8,Loja,Sala Alberto Serruya,1,0,0
015-0035,CASTIÇAL MEDURA REDONDA,CASTIÇAIS,2,Maison Blue,Maison Blue,0,0,1
015-0036,CASTIÇAL ANTIGO 03 VELAS PRATA COM CÚPULA TRABALHADA,CASTIÇAIS,1,Loja,Area da Entrada,0,0,0
015-0037,CASTIÇAL MULHER 03 VELAS PRATA,CASTIÇAIS,2,Galpao,Setor 2,0,0,0
015-0038,CASTIÇAL 01 VELA DA LINHA CRISTAL PRATA (PEQUENO),CASTIÇAIS,6,Maison Blue,Maison Blue,0,0,0
015-0039,CASTIÇAL 01 VELA DA LINHA CRISTAL PRATA (MÉDIO),CASTIÇAIS,6,Maison Blue,Maison Blue,0,0,0
015-0040,CASTIÇAL 01 VELA DA LINHA CRISTAL PRATA (GRANDE),CASTIÇAIS,6,Galpao,Setor 1,0,0,0
015-0041,CASTIÇAL ALTO DE 05 VELAS DA LINHA PRATA,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0042,CASTIÇAL MÉDIO DA LINHA PRATA COM 03 VELAS,CASTIÇAIS,2,Galpao,Setor 2,0,0,0
015-0043,CASTIÇAL DA LINHA PRATA COM PÉROLAS (PEQUENO),CASTIÇAIS,2,Galpao,Setor 2,0,0,0
015-0044,CASTIÇAL DA LINHA PRATA COM PÉROLAS (MÉDIO),CASTIÇAIS,3,Loja,Area da Entrada,0,0,0
015-0045,CASTIÇAL DA LINHA PRATA COM PÉROLAS (GRANDE),CASTIÇAIS,3,Maison Blue,Maison Blue,0,0,1
015-0046,CASTIÇAL DE MESA NA COR PRATA COM 03 VELAS,CASTIÇAIS,4,Loja,Area da Entrada,0,0,0
015-0047,CASTIÇAL ÂNFORA DOURADO,CASTIÇAIS,36,Armazem 500,Armazem 500,0,0,0
015-0048,CASTIÇAL DAVID PRETO,CASTIÇAIS,39,Galpao,Setor 2,0,0,0
015-0049,CASTIÇAL FININHO BRANCO DE 08 VELAS,CASTIÇAIS,30,Loja,Area do Galpao,0,0,0
015-0050,CASTIÇAL EM FORMATO DE COQUEIRO DOURADO,CASTIÇAIS,21,Loja,Area da Entrada,0,0,0
015-0051,CASTIÇAL EM FORMATO DE COQUEIRO PRATA,CASTIÇAIS,23,Galpao,Setor 4,0,0,0
015-0052,CASTIÇAL 17 VELAS TODO EM PRATA,CASTIÇAIS,1,Galpao,Setor 2,0,0,0
015-0053,CASTIÇAL 05 VELAS ARVORE,CASTIÇAIS,9,Maison Blue,Maison Blue,0,0,0
015-0054,CASTIÇAL 01 VELA QUADRADO PRATA COM STRAUS,CASTIÇAIS,13,Galpao,Setor 2,0,0,0
015-0055,CASTIÇAL TODO EM FERRO 09 VELAS,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0056,CASTIÇAL 8 VELAS BLACK MUER,CASTIÇAIS,2,Galpao,Setor 3,0,0,0
015-0057,CASTICAL 2 VELAS DE VIDRO AZUL,CASTIÇAIS,9,Maison Blue,Maison Blue,0,0,0
015-0058,CASTIÇAL 3 VELAS DE VIDRO COR AZUL,CASTIÇAIS,6,Loja,Area do Galpao,1,0,0
015-0059,TOUCHEIRO CROMADO DO PÉ GROSSO,CASTIÇAIS,10,Loja,Area da Entrada,0,0,0
015-0060,CASTIÇAL FRUTEIRÃO DOURADO ORIGINAL,CASTIÇAIS,2,Galpao,Setor 2,0,0,0
015-0061,CASTIÇAL FRUTEIRÃO DOURADO (RÉPLICA),CASTIÇAIS,25,Galpao,Setor 2,0,0,0
015-0062,CASTIÇAL FRUTEIRINHA DOURADO MARIZA PRADO (ORIGINAL),CASTIÇAIS,1,Loja,Area do Galpao,0,0,0
015-0063,CASTIÇAL FRUTEIRINHA DOURADO MARIZA PRADO (RÉPLICA),CASTIÇAIS,26,Armazem 500,Armazem 500,1,0,0
015-0064,CASTIÇAL MARISA PRADO DOURADO COM MARROM 01 SAIA (ORIGINAL),CASTIÇAIS,2,Galpao,Setor 1,0,0,0
015-0065,CASTIÇAL TROFFEU PRATA,CASTIÇAIS,11,Galpao,Setor 3,0,0,0
015-0066,CASTIÇAL 09 VELAS TODO EM PRATA ALTO,CASTIÇAIS,5,Galpao,Setor 3,0,0,0
015-0067,CASTIÇAL TROFFEU DOURADO,CASTIÇAIS,24,Loja,Area da Entrada,0,0,0
015-0068,CANDELABRO CRISTAL COM 03 VELAS,CASTIÇAIS,1,Galpao,Setor 3,0,0,0
015-0069,CANDELABRO ESTILO VELA QUADRADA PORCELANA PRATA,CASTIÇAIS,1,Galpao,Setor 1,0,0,0
015-0070,CANDELABRO PONTE 3 VELAS,CASTIÇAIS,1,Galpao,Setor 2,1,0,0
015-0071,CASTICAL08 VELAS AZUL MARIZZA PRADO,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0072,CASTICAL08 VELAS MARIZZA PRADO BRANCO,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0073,CASTICAL CONE 06 VELAS,CASTIÇAIS,1,Loja,Area do Galpao,0,0,0
015-0074,CASTIÇAL MARIZZA PRADO DOURADO DUAS CABECAS (ORIGINAL DE SAIAS),CASTIÇAIS,2,Galpao,Setor 2,0,0,0
015-0075,CASTIÇAL MARIZZA PRADO DOURADO FOLHA 08 VELAS,CASTIÇAIS,2,Galpao,Setor 3,0,0,0
015-0076,CASTIÇAL MARIZZA PRADO PRATA 10 VELAS,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0077,CASTIÇAL OURO DE 5 VELAS LINHA NOVA (GRANDE),CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0078,"CASTIÇAL PILAR (GRANDE, 13 x 13 x 58 CM)",CASTIÇAIS,10,Armazem 500,Armazem 500,0,0,0
015-0079,CASTIÇAL PROVENCAL ATENAS (PEQUENO),CASTIÇAIS,20,Loja,Area do Galpao,0,0,0
015-0080,CASTIÇAL TIPO BARCA 07 VELAS,CASTIÇAIS,20,Loja,Area do Galpao,1,0,0
015-0081,CASTIÇAL CORNETINHA DA LINHA OURO,CASTIÇAIS,2,Loja,Area do Galpao,0,0,0
015-0082,CASTIÇAL 08 VELAS BRANCO FININHO,CASTIÇAIS,30,Galpao,Setor 3,0,0,0
015-0083,CASTIÇAL 07 VELAS NOVO VELHO,CASTIÇAIS,34,Loja,Area da Entrada,0,0,0
015-0084,CASTIÇAL BOLÃO DOURADO,CASTIÇAIS,36,Loja,Area do Galpao,0,0,0
015-0085,CASTIÇAL DAVID DOURADO,CASTIÇAIS,3,Galpao,Setor 4,0,0,0
015-0086,CASTIÇAL DE CRISTAL COM PRATA 01 VELA,CASTIÇAIS,29,Galpao,Setor 1,0,0,0
015-0087,CASTIÇAL NOVO VELHO PRATA,CASTIÇAIS,23,Loja,Sala Alberto Serruya,1,0,0
015-0088,CASTIÇAL NOVO VELHO DOURADO,CASTIÇAIS,26,Galpao,Setor 3,0,0,1
015-0089,PORTA VELA DE CRISTAL DA LINHA NOVA PEQUENO,CASTIÇAIS,12,Loja,Area do Galpao,0,0,1
015-0090,PORTA VELA DE CRISTAL DOURADO DA LINHA NOVA MÉDIO,CASTIÇAIS,12,Galpao,Setor 3,0,0,0
015-0091,PORTA VELA DE CRISTAL PRATEADO DA LINHA NOVA,CASTIÇAIS,15,Maison Blue,Maison Blue,0,0,0
015-0092,CASTIÇAL PÉTALA PRATA,CASTIÇAIS,26,Armazem 500,Armazem 500,0,0,0
015-0093,CASTIÇAL DAVISINHO PRATA,CASTIÇAIS,32,Loja,Area da Entrada,0,0,0
016-0001,CENTRO DE MESA ANTIGO PRATA TIPO CONE,CENTRO DE MESA,2,Galpao,Setor 2,0,0,0
016-0002,CENTRO DE MESA TIPO BARCA RÚSTICA,CENTRO DE MESA,2,Galpao,Setor 3,0,0,0
016-0003,"CENTRO DE MESA BROCADO LX 22,50 DOURADO",CENTRO DE MESA,1,Loja,Area do Galpao,0,0,0
016-0004,"CENTRO DE MESA ESPELHADO (0,12 x 0,11 x 0,08)",CENTRO DE MESA,3,Galpao,Setor 3,0,0,0
016-0005,"CENTRO DE MESA ESPELHADO (0,14 x 0,13 x 0,09)",CENTRO DE MESA,2,Galpao,Setor 2,0,0,0
016-0006,"CENTRO DE MESA ESPELHADO (0,21 x 0,14 x 0,09)",CENTRO DE MESA,2,Loja,Area da Entrada,0,0,0
016-0007,"CENTRO DE MESA ESPELHADO (0,26 x 0,15 x 0,09)",CENTRO DE MESA,2,Loja,Area do Galpao,0,0,0
016-0008,"CENTRO DE MESA ESPELHADO (0,26 x 0,26 x 0,14)",CENTRO DE MESA,2,Galpao,Setor 3,0,0,0
016-0009,"CENTRO DE MESA ESPELHADO SEXTAVADO (4,00 x 0,27 x 0,13)",CENTRO DE MESA,4,Galpao,Setor 2,0,0,1
016-0010,CENTRO DE MESA ESTILO FLOR EM PÉ PRATA (FRUTEIRA DO PÉ CROMADO),CENTRO DE MESA,15,Loja,Area do Galpao,0,0,0
016-0011,CENTRO DE MESA FLOR EM PORCELANA BRANCA,CENTRO DE MESA,1,Loja,Setor Comercial,0,1,0
016-0012,CENTRO DE MESA EM PORCELANA INGLESA,CENTRO DE MESA,1,Armazem 500,Armazem 500,0,0,0
016-0013,CENTRO DE MESA PRATA 2 PRATOS E 1 CONE EM VIDRO,CENTRO DE MESA,1,Galpao,Setor 2,0,0,0
016-0014,PINHO EM PORCELANA BRANCA ABERTA (MÉDIO),CENTRO DE MESA,2,Loja,Area da Entrada,0,0,1
016-0015,PINHO EM PORCELANA BRANCA ABERTA (PEQUENO),CENTRO DE MESA,2,Galpao,Setor 2,0,0,0
016-0016,PINHO EM PORCELANA BRANCA FECHADA (MÉDIO),CENTRO DE MESA,2,Galpao,Setor 2,0,0,0
016-0017,PINHO EM PORCELANA BRANCA ABERTA (PEQUENO),CENTRO DE MESA,2,Armazem 500,Armazem 500,0,0,0
016-0018,CENTRO DE MESA ESTILO CONCHA FUNDO DO MAR,CENTRO DE MESA,2,Loja,Area do Galpao,0,0,0
016-0019,CENTRO DE MESA RÚSTICO ESTILO BANDEJA,CENTRO DE MESA,1,Loja,Area do Galpao,0,0,0
016-0020,CENTRO DE MESA RÚSTICO REDONDO,CENTRO DE MESA,1,Loja,Area do Galpao,0,0,0
016-0021,CENTRO DE MESA DE ALTO RELEVO DOURADO EM FERRO,CENTRO DE MESA,1,Loja,Area do Galpao,0,0,0
016-0022,CENTRO DE MESA QUADRADO NA COR VERDE EM PORCELANA,CENTRO DE MESA,2,Galpao,Setor 2,0,0,0
016-0023,JOGO DE 03 VELAS INDIANO - COR VERNIZ COPAL,CENTRO DE MESA,1,Galpao,Setor 2,0,0,0
016-0024,JOGO DE 03 VELAS INDIANO - COR LARANJA,CENTRO DE MESA,1,Galpao,Setor 2,0,0,0
017-0001,CHAISE MARROM COM DOURADO,CHAISE,1,Galpao,Setor 2,0,0,0
017-0002,CHAISE COM ESTAMPA DOURADA,CHAISE,2,Galpao,Setor 1,0,0,0
017-0003,CHAISE COM ESTAMPA PRATA,CHAISE,2,Loja,Area da Entrada,0,0,0
017-0004,CHAISE COM ESTAMPA DOURADA,CHAISE,2,Loja,Area do Galpao,0,0,0
018-0001,CHAMPANHEIRA COM BASE EM ALUMÍNIO SAQUIS SAMARA,CHAMPANHEIRA,7,Loja,Area do Galpao,0,0,0
018-0002,CHAMPANHEIRA LEQUE,CHAMPANHEIRA,2,Loja,Area da Entrada,0,0,0
018-0003,CHAMPANHEIRA SARQUIS SAMARA (PRETA),CHAMPANHEIRA,1,Loja,Area do Galpao,0,0,0
018-0004,CHAMPANHEIRA ESTILO BARCA (GRANDE),CHAMPANHEIRA,2,Loja,Sala Alberto Serruya,0,0,0
018-0005,CHAMPANHEIRA TAÇA SARQUIS SAMARA PRATA,CHAMPANHEIRA,1,Armazem 500,Armazem 500,0,1,0
018-0006,CHAMPANHEIRA SARQUIS SAMARA DE CRISTAL COM PÉ PRATA,CHAMPANHEIRA,4,Loja,Area do Galpao,0,0,0
018-0007,CHAMPANHEIRA DE PRATA COM BRASÃO,CHAMPANHEIRA,1,Loja,Area da Entrada,0,0,0
018-0008,CHAMPANHEIRA SARQUIS SAMARA COM ARGOLA E BASE QUADRADA (PEQUENA),CHAMPANHEIRA,10,Armazem 500,Armazem 500,0,0,0
018-0009,CHAMPANHEIRA SARQUIS SAMARA COM ARGOLA E BASE QUADRADA (MÉDIA),CHAMPANHEIRA,10,Loja,Setor Comercial,0,0,0
018-0010,CHAMPANHEIRA SARQUIS SAMARA LISA (PEQUENA),CHAMPANHEIRA,10,Loja,Setor Comercial,0,0,0
018-0011,CHAMPANHEIRA SARQUIS SAMARA LISA (GRANDE),CHAMPANHEIRA,2,Armazem 500,Armazem 500,0,0,0
019-0001,"COLUNA DE VIDRO (0,30 x 0,30 x 0,60)",COLUNAS,2,Galpao,Setor 2,0,0,0
019-0002,COLUNA ANJINHO DOURADO,COLUNAS,4,Loja,Area do Galpao,0,0,0
019-0003,COLUNA BATISMAL BRANCA,COLUNAS,2,Galpao,Setor 2,0,0,0
019-0004,COLUNA BATISMAL MARROM,COLUNAS,2,Galpao,Setor 3,0,0,0
019-0005,COLUNA DE LAÇO DOURADA (MÉDIA),COLUNAS,10,Loja,Area do Galpao,0,0,0
019-0006,COLUNA DE MADEIRA (BAIXA 45 CM),COLUNAS,3,Loja,Area da Entrada,0,0,0
019-0007,COLUNA DE MADEIRA (MÉDIA 62 CM),COLUNAS,1,Loja,Area do Galpao,0,0,0
019-0008,COLUNA DE MADEIRA ALTA,COLUNAS,1,Loja,Setor Comercial,0,0,0
019-0009,COLUNA DE VIDRO RETANGULAR (MÉDIA),COLUNAS,3,Loja,Area do Galpao,0,0,0
019-0010,COLUNA DUNQUERQUE,COLUNAS,3,Loja,Setor Comercial,0,0,0
019-0011,COLUNA BOMBÊ,COLUNAS,10,Loja,Area do Galpao,0,0,0
019-0012,COLUNA EGÍPCIA DOURADA,COLUNAS,4,Loja,Area da Entrada,0,0,0
019-0013,COLUNA EGÍPCIA PRATA,COLUNAS,1,Loja,Area da Entrada,0,0,0
019-0014,COLUNA ESPELHADA (0.90 x 0.21) - FOLHAGEM,COLUNAS,4,Armazem 500,Armazem 500,0,0,0
019-0015,COLUNA FOLHAGEM (GRANDE),COLUNAS,1,Galpao,Setor 3,0,0,0
019-0016,COLUNA GREGA PRATA,COLUNAS,4,Loja,Area do Galpao,1,0,0
019-0017,COLUNA MARIZA PRADO DOURADA,COLUNAS,2,Loja,Setor Comercial,0,0,0
019-0018,COLUNA OURO VAZADA DA LINHA NOVA,COLUNAS,2,Loja,Area do Galpao,0,0,0
019-0019,COLUNA REVESTIDA BELGRADO PRATA (ESPELHADA),COLUNAS,12,Galpao,Setor 3,0,0,0
019-0020,COLUNA REVESTIDA BELGRADO PRETO (ESPELHADA PRETA),COLUNAS,2,Loja,Area do Galpao,0,0,0
019-0021,COLUNA ROMANA INCLINADA DOURADA,COLUNAS,3,Armazem 500,Armazem 500,0,0,0
019-0022,COLUNA ROMANA RETA DOURADA,COLUNAS,4,Galpao,Setor 2,0,0,0
019-0023,COLUNA SARQUIS SAMARA,COLUNAS,2,Galpao,Setor 3,0,0,0
019-0024,COLUNA INCLINADA PRATA,COLUNAS,2,Loja,Area do Galpao,1,0,0
019-0025,COLUNA BOMBEZINHA,COLUNAS,4,Loja,Area do Galpao,0,0,0
020-0001,CÔMODA BOMBÊ 4 GAVETAS,CÔMODAS,1,Galpao,Setor 2,0,0,0
020-0002,"CÔMODA BOMBÊ 6 GAVETAS (GRANDE - 1,35 x 0,67 CM)",CÔMODAS,1,Armazem 500,Armazem 500,0,0,0
020-0003,CÔMODA ESPELHADA VENEZIANA 3 GAVETAS,CÔMODAS,1,Galpao,Setor 1,0,0,0
020-0004,CÔMODA VANCOUVER PRATA,CÔMODAS,1,Loja,Area do Galpao,0,0,0
020-0005,CÔMODA VANCOUVER PRETA,CÔMODAS,1,Loja,Area da Entrada,0,0,0
020-0006,CÔMODA VENEZIANA ESPELHADA,CÔMODAS,1,Galpao,Setor 3,0,0,0
020-0007,CÔMODA VENEZIANA ESPELHADA 4 GAVETAS PEQUENA,CÔMODAS,2,Maison Blue,Maison Blue,0,0,0
020-0008,CÔMODA MDF COM 02 GAVETAS 02 PORTAS NA COR MARROM TODA TRABALHADA,CÔMODAS,1,Armazem 500,Armazem 500,0,0,0
020-0001,CRISTALEIRA LUIZ XV ALTA 01 NÍVEL,CRISTALEIRAS,1,Galpao,Setor 1,0,0,0
020-0002,CRISTALEIRA DUNQUERQUE VITRINE,CRISTALEIRAS,1,Galpao,Setor 2,0,0,0
020-0003,CRISTALEIRA DUNQUERQUE TIPO HARPA (MÉDIA),CRISTALEIRAS,2,Galpao,Setor 3,0,0,0
020-0004,CRISTALEIRA DUNQUERQUE TIPO HARPA (PEQUENA),CRISTALEIRAS,4,Loja,Area do Galpao,0,0,0
020-0005,CRISTALEIRA EM MADEIRA COM 2 PRATELEIRAS,CRISTALEIRAS,1,Loja,Area do Galpao,0,0,0
020-0006,CRISTALEIRA EM MDF BRANCA (MINI),CRISTALEIRAS,1,Galpao,Setor 3,0,0,0
020-0007,CRISTALEIRA BAIXA 01 GAVETA E 01 PORTA,CRISTALEIRAS,2,Loja,Area da Entrada,0,0,0
020-0008,CRISTALEIRA EM MADEIRA COM 03 PRATELEIRAS E 01 GAVETA,CRISTALEIRAS,1,Loja,Area do Galpao,0,0,0
020-0009,CRISTALEIRA LUIZ XV ANTIGA COM 02 GAVETAS,CRISTALEIRAS,1,Galpao,Setor 3,0,0,1
020-0010,CRISTALEIRA ALTA COM VIDRO COR BRANCA,CRISTALEIRAS,1,Loja,Setor Comercial,0,0,0
021-0001,APAGADOR DE VELA ANTIGO,DIVERSOS,1,Galpao,Setor 1,0,0,0
021-0002,ASTEROIDE TECIDO BRANCO (GRANDE - SPUNICK),DIVERSOS,25,Loja,Area da Entrada,1,0,0
021-0003,ASTEROIDE TECIDO BRANCO (PEQUENO - SPUNICK),DIVERSOS,100,Maison Blue,Maison Blue,1,0,0
021-0004,ASTEROIDE TECIDO BRILHOSO AZUL,DIVERSOS,9,Galpao,Setor 2,0,0,0
021-0005,ASTEROIDE TECIDO COLORIDO,DIVERSOS,38,Loja,Area do Galpao,0,0,0
021-0006,BALÃO JAPONÊS COMPRIDO (VERMELHO),DIVERSOS,3,Loja,Area da Entrada,0,0,0
021-0007,BALÃO JAPONÊS REDONDO (BRANCO),DIVERSOS,55,Loja,Area da Entrada,0,0,0
021-0008,BALÃO JAPONÊS REDONDO (VERMELHO),DIVERSOS,61,Armazem 500,Armazem 500,0,0,0
021-0009,BALDE COLORIDO DIVERSOS (MÉDIO),DIVERSOS,16,Galpao,Setor 2,0,0,0
021-0010,BALDE COLORIDO DIVERSOS (PEQUENO),DIVERSOS,14,Loja,Area do Galpao,0,0,0
021-0011,BARRACA DE FERRO (BRANCA),DIVERSOS,NA,Loja,Area da Entrada,0,0,0
021-0012,BOLA ABAJUR (GRANDE),DIVERSOS,6,Loja,Area do Galpao,0,0,0
021-0013,BOLA COLORIDA COM BRILHO,DIVERSOS,10,Loja,Area do Galpao,0,0,0
021-0014,BOLA DE CRISTAL BASE PRATA,DIVERSOS,16,Galpao,Setor 3,0,0,0
021-0015,BONECO AFRICANO COM CESTO,DIVERSOS,1,Loja,Area da Entrada,0,1,0
021-0016,BONECO CHEFF DE COZINHA DE REZINA GORDO G,DIVERSOS,1,Loja,Sala Alberto Serruya,0,0,0
021-0017,BONECOS O GORDO E O MAGRO,DIVERSOS,1,Loja,Sala Alberto Serruya,0,0,0
021-0018,BONECO INDIANO SENTADO COM CESTO,DIVERSOS,1,Loja,Area da Entrada,0,0,0
021-0019,BONECO NO SMOKING,DIVERSOS,1,Galpao,Setor 3,0,0,0
021-0020,BONECO PIZZAIOLO (GRANDE),DIVERSOS,1,Loja,Area do Galpao,0,0,0
021-0021,BONECO PIZZAIOLO (MÉDIO),DIVERSOS,1,Loja,Area do Galpao,0,0,0
021-0022,BRINQUEDOS PEGA-PEGA BONECOS,DIVERSOS,1,Loja,Area da Entrada,0,0,0
